competencia,ambiente,modulo,servico,tipo_custo,status_atual,gratuito_ate,plano_modelo,unidade_metrica,consumo_mensal,preco_unitario_usd,custo_estimado_usd,custo_estimado_brl,estimativa_comercial,responsavel,fonte_dado,observacoes
2026-04,producao,RAG,Pinecone,misto,pago,PoC e RAG pequeno,Standard,read_units,0,0,0,0,Em producao tratar como custo estrutural a partir de US$ 50 mes,,painel fornecedor,RAG comercial tende a sair do gratis
2026-04,producao,RAG,Pinecone,misto,pago,PoC e RAG pequeno,Standard,write_units,0,0,0,0,Escrita cresce com indexacao e reindexacao,,painel fornecedor,Monitorar writes por volume de base
2026-04,producao,RAG,Pinecone,misto,pago,PoC e RAG pequeno,Standard,storage_gb,0,0,0,0,Storage vetorial vira custo recorrente do RAG,,painel fornecedor,Monitorar crescimento da base
2026-04,producao,RAG,Google Gemini Embeddings,variavel,gratuito ou baixo custo,Validacao e baixo volume,gemini-embedding-2-preview,tokens,0,0,0,0,Consulta curta de embedding custa cerca de US$ 0.000024 e mil consultas cerca de US$ 0.024,,painel fornecedor,Reindexacao pode aumentar rapido
2026-04,producao,IA,OpenAI,variavel,pago,Nao considerar gratis para operacao,gpt-4o-mini,input_tokens,0,0,0,0,Chat tipico de 2500 tokens de entrada participa com cerca de US$ 0.000375 por chamada,,painel fornecedor,Cresce com volume operacional
2026-04,producao,IA,OpenAI,variavel,pago,Nao considerar gratis para operacao,gpt-4o-mini,output_tokens,0,0,0,0,Chat tipico com 700 tokens de saida adiciona cerca de US$ 0.00042 por chamada,,painel fornecedor,Fallback do assistente e IA comunicacao
2026-04,producao,IA,OpenAI,variavel,pago,Uso pontual e controlado,gpt-4o-mini-tts,audio_tokens,0,0,0,0,TTS curto pesa pouco na entrada e mais no audio gerado,,painel fornecedor,Se audio virar rotina monitorar mensalmente
2026-04,producao,IA,Groq,variavel,freemium,Teste e uso leve,llama-3.3-70b-versatile,input_tokens,0,0,0,0,Chat tipico de 2500 tokens de entrada fica perto de US$ 0.001475 por chamada,,painel fornecedor,Validar modelo real da conta
2026-04,producao,IA,Groq,variavel,freemium,Teste e uso leve,llama-3.3-70b-versatile,output_tokens,0,0,0,0,Chat tipico com 700 tokens de saida adiciona cerca de US$ 0.000553 por chamada,,painel fornecedor,Em producao usar spend cap
2026-04,producao,Base Operacional,Supabase,fixo,freemium,Homologacao e operacao pequena,Pro,organizacao_mes,1,25,25,0,Gratis atende validacao mas producao pede previsibilidade de plano pago,,contrato/painel,Custo base estrutural do HUB
2026-04,producao,Base Operacional,Supabase,misto,freemium,Homologacao e operacao pequena,Micro Compute,horas_compute,0,0,0,0,Compute cresce conforme consultas e carga da aplicacao,,painel fornecedor,Validar tamanho real do projeto
2026-04,producao,Base Operacional,Supabase,misto,freemium,Homologacao e operacao pequena,Storage,storage_gb,0,0,0,0,Storage acompanha crescimento de mensagens e analises,,painel fornecedor,Operacao omnichannel pode acelerar esse item
2026-04,producao,Base Operacional,Supabase,misto,freemium,Homologacao e operacao pequena,Edge Functions,invocacoes_excedentes,0,0,0,0,Functions so pesam depois da franquia mas devem ser monitoradas,,painel fornecedor,Relevante em escala
2026-04,producao,Base Operacional,Supabase,misto,freemium,Homologacao e operacao pequena,Realtime,mensagens_excedentes,0,0,0,0,Realtime cresce se dashboards passarem a usar eventos em massa,,painel fornecedor,Hoje parece secundario
2026-04,producao,Comunicacao,Microsoft 365 / Outlook,misto,pago,Depende da licenca da empresa,definir,licencas,0,0,0,0,Nao medir por token e sim por licenca Microsoft e governanca de caixas,,contrato Microsoft,Definir quem paga e quantas caixas entram
2026-04,producao,Monitoramento,Zabbix,interno,gratuito,Software atende bem sem licenca,infra interna,servidor_mes,1,0,0,0,Gratis como software mas com custo interno de servidor e operacao,,levantamento interno,Custo real e de infra
2026-04,producao,Data Lake,MySQL / Data Lake,interno,interno,Depende da infra da empresa,infra interna,servidor_mes,1,0,0,0,Nao e token e sim custo de banco manutencao backup e operacao,,levantamento interno,Levantar servidor e responsavel
2026-04,producao,Comunicacao,WhatsApp Bridge,interno,interno,Depende da infra da empresa,infra interna,servidor_mes,1,0,0,0,Nao apareceu API paga no codigo e o custo esta na maquina e manutencao,,levantamento interno,Monitorar risco operacional
